name,creation_date,content,like_count,quote_count,reply_count,retweet_count
adidas,2015-05-30,#Boostyourgame in the new colors of comfort. New @adidasGolf adipower #Boost colorways available 6.1.15. http://t.co/T0Cp3TYyIe,163,0,5,83
adidas,2015-06-05,The greatest player ever is more motivated than ever. The ultimate stage awaits Leo Messi. #Messi15 #BeTheDifference http://t.co/7nUv1xpx6V,257,0,7,132
adidas,2015-06-06,Chaos created. 💥 @LuisSuarez9 is the gamechanger. #X15 #BeTheDifference #UCLfinal http://t.co/DLfkkixPcx,128,0,1,62
adidas,2015-06-08,"An amazing year comes to a close. We look forward to all that the next one brings. Happy birthday, @KanyeWest. http://t.co/QCrXleYBxp",431,0,10,259
adidas,2015-06-08,Few things are better than being original. One is being proud of who you are. Be both. http://t.co/qXRfCCQWxr http://t.co/rtBIOItWZp,381,0,14,231
adidas,2015-06-11,Spend less time making playlists and more time on the road with #adidasgo. Download the app: http://t.co/QyIuEejlcn http://t.co/8OirqclLtz,95,0,0,38
adidas,2015-06-15,#YEEZYBOOST 350. Coming soon. http://t.co/ghAIfVNtak,453,0,24,304
adidas,2015-06-15,Equipped for the 115th @USOpenGolf. Shop the new @adidasGolf collection at http://t.co/oBAjHG5xxF http://t.co/yRqL0a8lJS,80,0,1,24
adidas,2015-06-15,"For @DFB_Frauen, #FIFAWWC is all business. #BeTheDifference #GER http://t.co/G77LBqeo7p",140,0,4,38
adidas,2015-06-17,Constructed from a single-piece #Primeknit upper. #YEEZYBOOST 350 drops worldwide June 27th. http://t.co/Ew1qISyflh,599,1,28,344
adidas,2015-06-18,The #YEEZYBOOST 350 – a fearless step into the future of style. Available worldwide June 27th: http://t.co/kTjEM90JzT http://t.co/U5ifBdXLNM,300,1,10,182
adidas,2015-06-19,Traditional style. Innovative performance. @adidasRunning #UltraBoost Collective by Kris Van Assche launches June 25. http://t.co/wSIHHr6bkD,103,0,1,48
adidas,2015-06-21,"From one generation to the next, skateboarding still #needsnotranslation. @adidasSkate http://t.co/aVlisyu1Gu",113,0,3,48
adidas,2015-06-22,"Control the game. Rule the world. @moeebrian is everywhere for her
nation in #FIFAWWC. #ACE15 #BeTheDifference http://t.co/K2jcWRcSFW",73,0,1,27
adidas,2015-06-26,"Another step forward. Another step together.
Celebrating a historic victory today in the fight for equality. http://t.co/svgNeKweA9",1336,0,58,881
adidas,2015-06-28,Tomorrow we show you the future with @parleyxxx - from the sea to the street. Stay tuned. http://t.co/DLnNtssnom,203,1,4,97
adidas,2015-06-29,Collaboration and innovation creates progress. We present a concept shoe born from ocean plastic waste. http://t.co/5gv4y5imNH,410,0,22,245
adidas,2015-06-29,"The seat may be different, but the goals are the same. The first step on our journey for change. http://t.co/BsDUY6Waq7",106,0,0,53
adidas,2015-06-29,Today we showcased a shoe that six days ago was ocean plastic waste. Bring on tomorrow. http://t.co/mjkxwOUih1,409,0,18,292
adidas,2015-06-30,Oceans. Climate. Life. @parleyxxx talks event in full swing at the UN. http://t.co/aV9ZxnnEBI,106,0,5,46
adidas,2015-07-01,"Inspired by history. Engineered for success.
#ForceOfBlack http://t.co/nbVA1jhThL",157,0,4,65
adidas,2015-07-11,It started with a dream. @GarbiMuguruza steps out into the #Wimbledon limelight. #ImpactTheGame http://t.co/vZyTtZEr19,95,0,3,52
adidas,2015-07-12,Greatness starts from the feet up. #ImpactTheGame #Wimbledon http://t.co/mYUPfN4wNO,143,0,7,76
adidas,2015-07-12,The perfect match. #Barricade x Novak. #ImpactTheGame http://t.co/p2NqoGGn5D,233,0,5,118
adidas,2015-07-31,"Break expectations.
@ManUtd wear 3 stripes.
#BeTheDifference
https://t.co/A6gh5kgYqc",518,2,34,649
adidas,2015-08-05,It's the home stretch for @CesarCielo. http://t.co/e355ZJiL0c,216,0,1,83
adidas,2015-08-05,"Welcome @adidasrunning's new training partner, @Runtastic. Bringing innovation to runners around the world. http://t.co/OfTBrZBw2U",272,0,11,178
adidas,2015-08-06,"Your heroes are now your competition. Don’t just follow; go out and create your own game.
https://t.co/kMA9ermV0S",21680,33,476,13339
adidas,2015-08-13,"From the city to the sky, #owntheroad. London cycling collective @the5thfloor, dominate the Dolomites in 3 stripes. http://t.co/AwR6mEo7ch",192,0,5,72
adidas,2015-08-19,"Unfollow Messi? 
20.08.15 http://t.co/dP8WTqnclo",1178,3,97,1181
adidas,2015-08-20,"Unfollow your heroes. 
Create your own game.
https://t.co/e6adXzF8Fa",23645,25,458,14480
adidas,2015-08-23,"7 events leave no room for luck.
Congrats to @J_Ennis, the #Beijing2015 Heptathlon World Champion.
#boostbeijing http://t.co/SDGADOnjJr",208,0,6,79
adidas,2015-08-23,"Catch her if you can. The fastest woman of 2014, @bowie_tori is set to leave her mark at #Beijing2015. #boostbeijing http://t.co/5Sob2DVHOe",119,0,5,45
adidas,2015-08-25,"Set a world record. Win Olympic Gold. Create a legacy. @rudishadavid, 800m World Champion. #boostbeijing #beijing2015 http://t.co/8sAM7r6duO",161,0,3,95
adidas,2015-08-26,Creating the dream. @WaydeDreamer is South Africa's very first 400m World Champion. #beijing2015 #boostbeijing http://t.co/0gGukQPC2j,173,0,2,120
adidas,2015-08-28,Awarded best in Europe. Undoubtedly best in the World. Surely the greatest ever. #BeTheDifference http://t.co/Q4goSWcL15,355,0,12,221
adidas,2015-08-31,"Dominant Day.
Jason Day /// @TheBarclaysGolf /// http://t.co/Vyrpr21lYk",75,0,3,24
adidas,2015-09-01,"Create your own finish line. Your city will never be the same again. This is #energyrunning.
https://t.co/rx3p8STOSR",178,0,6,91
adidas,2015-09-07,Records belong in the history books. Next year is all that matters. http://t.co/W39vcNUWeu,129,0,4,47
adidas,2015-09-12,Seize the moment when they least expect it. @flavia_pennetta is the 2015 U.S. Open champion. http://t.co/W2FlJA7ctS,288,0,3,126
adidas,2015-09-13,From your first serve to your final victory. Leave your mark on the game. http://t.co/1AMzwGTJTI,282,0,8,95
adidas,2015-09-13,Make your impact on the biggest stage. http://t.co/ciOyLxT9Rg,207,1,5,79
adidas,2015-09-14,A true champion from the ground up. http://t.co/JHgrEg3tAI,514,0,12,268
adidas,2015-09-15,The puck stops here. Today we're proud to take the ice and announce our partnership with the @NHL. http://t.co/4Lobikw2k7,523,0,43,302
adidas,2015-09-20,"The most dominant force in international rugby. 
The @AllBlacks invasion starts now. http://t.co/ivcZACQOhW",269,0,7,181
adidas,2015-09-20,"Today was a good Day. 
Jason Day, world number one. 1⃣ http://t.co/JDxnle3j4M",171,0,9,86
adidas,2015-09-23,"Without sweat, there is no victory. 
It's forever or never.
https://t.co/26NaNWUUep",343,0,11,218
adidas,2015-09-24,"Messi's boots of today, recycled into yours tomorrow. Reusable, waste-free football products are on their way. https://t.co/7tBIl9MVlq",758,0,23,420
adidas,2015-09-24,"Recycle your boots. Reimagine your game. 
A new breed of reusable football sportswear is on its way. http://t.co/n9d4nMRfXG",473,0,14,187
adidas,2015-09-27,"A dream full of every colour under the rainbow. 
@L_ArmiTstead is the Champion of the World. http://t.co/zGmLoGdW9j",102,0,5,48
adidas,2015-10-01,"The wait is over. Welcome, @JHarden13. http://t.co/QlPuLr8TGu",652,1,21,518
adidas,2015-10-06,"1 Stanley Cup. 
2 Olympic Gold Medals. 
3 Stripe Life. 

Welcome, Sidney Crosby. http://t.co/sPUeCzOLXT",208,0,10,114
adidas,2015-10-07,"3D-printed performance footwear. This is Futurecraft 3D. Take a sneak peek at the future of running.
https://t.co/9rcuSDHqXb",728,4,44,507
adidas,2015-10-07,Breaking the mold. Reimagining the future. This is Futurecraft 3D. Stay tuned. http://t.co/BoMUloL4w8,266,0,9,105
adidas,2015-10-09,"An icon, a legend, a gentleman. Today, Ma'a Nonu celebrates his 100th cap. We're proud to play with the best. http://t.co/7KIZgIZ1ZD",202,1,4,87
adidas,2015-10-11,Today we run Chicago. Prove yourself and attack the city. http://t.co/uiic8xS6Bn,230,0,4,66
adidas,2015-10-12,Absolute focus. Undeniable strength. http://t.co/4USCFT3WM0,173,0,4,57
adidas,2015-10-13,"Far from finished. 

This is only the beginning for Chicago and @KrisBryant_23. http://t.co/sjChm0a1sL",174,0,4,75
adidas,2015-10-13,"Our ice, our rules. It's game time for Sidney Crosby. http://t.co/Jqz4yLlW9h",126,0,3,48
adidas,2015-10-18,Nine titles and counting. @DjokerNole takes Shanghai. http://t.co/UM1Bmwk8ds,297,0,16,154
adidas,2015-10-18,"Redefining speed, one record at a time.
@AaronRodgers12 is the fastest QB in NFL history to reach 30k passing yards. http://t.co/csfvuSUAU4",203,1,15,91
adidas,2015-10-20,"Your dream. Your freedom. Claim it.
https://t.co/UfdfSGkNWO",155,0,7,97
adidas,2015-10-21,"Make a move or move out of the way. It's forever or never.
https://t.co/k5NPyFrDsE",149,0,7,77
adidas,2015-10-24,History is in their hands. https://t.co/mEohDcWb3l,219,0,11,110
adidas,2015-10-24,Tomorrow's destiny is today's hard work. Take Today. https://t.co/GZIhst26BI,206,0,11,142
adidas,2015-10-28,Limitless style for the bold. @adidasOriginals x @KanyeWest YEEZY SEASON 1 available worldwide tomorrow. https://t.co/43K45hp0bw,238,0,21,148
adidas,2015-10-31,Back to back. The greatest team ever. https://t.co/kaehMU9hXH,637,0,22,662
adidas,2015-10-31,The perfect 10. One last time. https://t.co/l276RbARh6,345,0,3,192
adidas,2015-11-01,"Back to back. 
Mary Keitany runs New York. https://t.co/ejzezVHUBk",115,0,2,67
adidas,2015-11-01,"Last year forgotten.
Wilson Kipsang is back to take what's his. https://t.co/3uMJfyhK3w",106,0,2,31
adidas,2015-11-04,"A timeless icon built for the future, by the future. Stay tuned. https://t.co/7qRFF3kNxM",227,0,11,83
adidas,2015-11-05,"An homage to a legend. A revolution in performance innovation. Step into the future with Futurecraft Leather.
https://t.co/xgetOrUyhh",507,2,27,269
adidas,2015-11-05,"Raw innovation. Celebrate the future of footwear with Futurecraft Leather. Dropping in NYC, London &amp; Tokyo on Nov. 7 https://t.co/cGTqfTjcsN",499,1,17,305
adidas,2015-11-05,Sports can change lives. We’re honored to visit the @WhiteHouse Tribal Nations Conference today to support high school mascot name changes.,578,0,75,484
adidas,2015-11-06,Suit up and show your stripes. Today we celebrate adidas Tracksuit Day. https://t.co/Kzfk6PO50O,353,0,16,156
adidas,2015-11-06,You've earned your stripes. Now show them with pride. Today we celebrate adidas Tracksuit Day. https://t.co/UyadMegtwV,128,0,10,51
adidas,2015-11-16,"Hard work, recognized. 

@KrisBryant_23 is your 2015 NL Rookie of the Year. https://t.co/mpupFesZDA",315,0,5,147
adidas,2015-11-17,"He delivered, so we did too. 

Congrats, @KrisBryant_23. https://t.co/3CXwBawg9K",207,0,13,64
adidas,2015-11-18,Innovation suited for a champion. A new chapter of speed is ready to make history. https://t.co/YKchMlm2ww,185,0,2,51
adidas,2015-11-18,Some people play games. Others change them. Rest in peace Jonah https://t.co/HbbyaTygWw,1196,1,8,1150
adidas,2015-11-19,"Created for Rio. Ready to take on the world. 
Next year belongs to Errejota.
https://t.co/HRh44XYMVJ",473,1,16,232
adidas,2015-11-19,"Leader. Winner. Warrior. Greatness defined. Thank you, Richie. https://t.co/mcuHZ3bjDQ",367,0,1,202
adidas,2015-11-22,11 months. 11 titles. 1 champion. https://t.co/gHIGCcCsUg,426,0,8,234
adidas,2015-11-23,Take today. Sweat. Struggle. And then ask for more. You've got this. https://t.co/mxw4aKWn5b https://t.co/Z9IpCS9C8p,114,0,4,36
adidas,2015-11-27,"Rewriting history in record time. 
@AaronRodgers12 is now the fastest QB to reach 250 passing TD’s. https://t.co/J2HeAMAeR0",196,0,1,70
adidas,2015-12-02,"Creators never follow. Be who you are and create your own game.
https://t.co/RdyfDCt9Uu",15346,8,343,12543
adidas,2015-12-07,Congratulations to @darlingtonnagbe and the Portland Timbers on bringing home their first ever MLS Cup. https://t.co/LZGMr2An5e,264,0,4,91
adidas,2015-12-08,"The tides are turning. 
Futurecraft meets @Parleyxxx to transform deep-sea plastic waste into a 3D-printed midsole. https://t.co/SsHmEXYjEh",654,4,24,296
