tweet_id,retweet_count,reply_count,like_count,quote_count
1395737396046712838,17,19,226,4
1395737395723657217,17,12,214,6
1395737393790128133,14,6,131,2
1395375006318747650,12,14,153,1
1395375006184611841,30,4,245,8
1395375005685456896,14,10,146,3
1395012619250147331,26,11,217,2
1395012618088222723,20,16,356,5
1395012617811501066,30,13,299,8
1394395828287152128,40,44,397,9
1394287863701938179,23,4,204,1
1394287842264813569,19,7,256,3
1393200679452397568,37,59,374,13
1392475903159160834,74,92,647,20
1392113515905929219,37,15,395,7
1392113514853109761,25,12,211,3
1391751127583141890,59,86,537,11
1391026351960993793,37,38,342,9
1390664214562357259,40,50,520,14
1390301576389009408,23,32,330,12
1390301575881580546,11,8,166,4
1389576800263671815,45,69,453,16
1389576799953334274,29,8,241,5
1389576799554842631,25,23,250,0
1388489636222324740,41,61,384,10
1388131031883161603,92,223,1000,35
1388127249002647555,30,16,271,4
1387804111274446849,15,13,209,4
1387768662178910218,29,86,343,24
1387768642016792576,21,8,221,0
1387406251773120512,40,76,482,21
1387406250074386434,23,11,286,7
1387406248837066755,19,11,189,5
1386774933687177218,36,104,325,12
1386681515929743361,24,20,238,10
1386681490776510468,29,53,330,12
1386681490424188933,37,32,249,6
1385956700168019970,47,83,469,15
1385594313611128840,58,141,592,54
1384144797267480580,40,70,312,21
1383057601198485508,48,88,511,12
1383057599881445386,44,43,514,16
1383053818561191941,52,38,353,7
1382691452015239177,15,8,135,4
1382691430544592919,54,16,503,14
1382378122260185090,34,21,291,3
1381275861308076037,58,54,559,10
1380879491497668609,74,110,666,6
1380517102759600130,42,49,359,7
1380154735953592326,15,21,176,4
1380154717528014867,26,19,232,3
1380154714684329992,19,21,165,4
1379792328743870473,25,29,234,4
1379433721284096001,69,97,565,14
1378342777637982210,18,19,248,0
1378342776149045256,38,21,311,5
1378342775842820100,21,18,201,3
1377255614016065536,35,47,446,8
1377255612376100867,30,28,288,8
1376893727738896385,45,70,476,12
1376534616035758080,41,44,398,5
1376534615582777346,76,103,891,26
1376530836238041090,42,17,347,6
1376202431483219969,18,27,249,2
1375806061236654083,59,130,714,16
1375806061102383110,46,47,366,8
1375530497099636741,26,58,220,3
1375500439391776775,154,720,1136,90
1375447469610438660,40,31,283,3
1375447454720663557,46,114,482,25
1375146449235763204,23,97,290,4
1375081285207609347,48,46,383,15
1374768093076058120,44,386,439,31
1374722684349771777,42,20,369,3
1374718897883131905,21,30,238,18
1371819794324934665,42,73,564,22
1371819793968418821,27,35,230,5
1371461208407216129,32,65,356,2
1371457406497079299,56,69,498,20
1370389125153570824,69,159,689,25
1370385344990957576,31,14,349,9
1370385342361141249,36,28,380,11
1370022979904495621,33,30,279,10
1369664346469638150,54,58,420,8
1369664346259918852,54,74,563,14
1369301961842032652,36,43,329,7
1369298201107460105,33,21,306,5
1369298180123332611,26,6,257,2
1369298180052037639,14,4,197,1
1369298178915328006,26,0,246,3
1368573402982809602,42,12,406,9
1368211016442671109,51,20,463,9
1368211015649931266,156,245,1667,97
1367852416117391366,59,99,646,8
1367848628803534856,34,18,293,5
1367490020433625093,49,169,611,28
1367486239277010947,82,50,810,39
