user_id,follower_count,following_count,tweet_count,listed_count
17351972,4675618,128,380454,9216
300114634,3936912,161,14005,4466
153031349,47653,2811,5940,233
21915474,710561,5156,37417,2363
50883209,1731240,57,71983,18680
32171828,96013,1541,15326,1350
183398746,1053720,14,9628,2045
752072829278023680,203,41,10,2
16252784,993783,370,312457,4916
23114836,946626,878,26586,3301
15383636,1282080,347,57967,2805
17351972,4675618,128,380454,9216
300114634,3936912,161,14005,4466
153031349,47653,2811,5940,233
21915474,710561,5156,37417,2363
50883209,1731240,57,71983,18680
32171828,96013,1541,15326,1350
183398746,1053720,14,9628,2045
752072829278023680,203,41,10,2
16252784,993783,370,312457,4916
23114836,946626,878,26586,3301
15383636,1282080,347,57967,2805
17351972,4675618,128,380454,9216
300114634,3936912,161,14005,4466
153031349,47653,2811,5940,233
21915474,710561,5156,37417,2363
50883209,1731240,57,71983,18680
32171828,96013,1541,15326,1350
183398746,1053720,14,9628,2045
752072829278023680,203,41,10,2
16252784,993783,370,312457,4916
23114836,946626,878,26586,3301
15383636,1282080,347,57967,2805
17351972,4675618,128,380454,9216
300114634,3936912,161,14005,4466
153031349,47653,2811,5940,233
21915474,710561,5156,37417,2363
50883209,1731240,57,71983,18680
32171828,96013,1541,15326,1350
183398746,1053720,14,9628,2045
752072829278023680,203,41,10,2
16252784,993783,370,312457,4916
23114836,946626,878,26586,3301
15383636,1282080,347,57967,2805
