id,name,twitter_handle,link,location,creation_date,description,verified
153031349,ChampionUSA,ChampionUSA,https://t.co/nqCEd5QrDc,NULL,2010-06-07,"The Official Champion Athleticwear Twitter handle - where authentic sports apparel lives, since 1919.",1
15383636,Vans,VANS_66,https://t.co/hZbNWPLx05,"California, USA",2008-07-10,The official Vans Twitter.,1
16252784,lululemon,lululemon,https://t.co/pfzSEgBnhI,"Vancouver, BC",2008-09-12,"Our products create transformational experiences for people to live happy, healthy, fun lives. Tweeting from Vancouver, BC and living #thesweatlife.",1
17351972,Nike.com,nikestore,https://t.co/1eW4qPemOT,"Beaverton, OR",2008-11-12,Your online provider for Nike products worldwide.,1
183398746,Converse,Converse,https://t.co/ndW1Zvn6Yg,"Boston, Massachusetts",2010-08-26,All Stars change the game so everyone can play. #ConverseAllStars,1
21915474,Reebok,Reebok,https://t.co/bzqoIKAtas,"Reebok Global HQ | Boston, MA",2009-02-25,#SportTheUnexpected,1
23114836,Under Armour,UnderArmour,https://t.co/wdMGfGHKsZ,"Baltimore, MD",2009-03-06,Under Armour makes you better. #TheOnlyWayIsThrough,1
300114634,adidas,adidas,https://t.co/IWCkBzzBih,NULL,2011-05-17,"Through sport, we have the power to change lives. #ImpossibleIsNothing",1
32171828,ASICS America,ASICSamerica,https://t.co/8Y8qNcJjOw,NULL,2009-04-16,"Sound Mind, Sound Body™",1
50883209,PUMA,PUMA,https://t.co/a0XeDsSgIh,NULL,2009-06-26,"Since 1948, PUMA has changed the game with speed, spontaneity, and performance innovation. Get a behind the scenes look at all things #ForeverFaster.",1
752072829278023680,Satisfy,satisfyrunning,https://t.co/aRMDJtV16R,NULL,2016-07-10,Premium technical apparel for running,0
